Stage,Absolute Timestamp (s),Stage Duration (s)
dots_display_round_1,12.3143,12.3143
map_display_round_2,13.3787,1.0644
dots_recall_round_3,15.1268,1.7482
map_display_round_7,21.9900,6.8631
dots_recall_round_8,24.6676,2.6777
dots_display_round_11,30.3463,5.6786
